Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,
Harrow,Four or More Bedrooms,140,"2,352","1,950","2,240","2,515",,,,,,
Havering,Room,10,956,542,649,699,,,,,,
Havering,Studio,20,773,700,775,850,,,,,,
Havering,One Bedroom,200,973,900,950,"1,050",,,,,,
Havering,Two Bedrooms,340,"1,236","1,150","1,250","1,350",,,,,,
Havering,Three Bedrooms,270,"1,486","1,350","1,475","1,600",,,,,,
Havering,Four or More Bedrooms,50,"1,902","1,700","1,800","2,100",,,,,,
Hillingdon,Room,50,565,483,552,627,,,,,,
Hillingdon,Studio,80,862,700,771,998,,,,,,
Hillingdon,One Bedroom,640,"1,035",950,"1,000","1,115",,,,,,
Hillingdon,Two Bedrooms,"1,010","1,325","1,200","1,300","1,418",,,,,,
Hillingdon,Three Bedrooms,570,"1,530","1,350","1,535","1,700",,,,,,
Hillingdon,Four or More Bedrooms,210,"2,111","1,731","2,000","2,400",,,,,,
Hounslow,Room,60,561,500,550,619,,,,,,
Hounslow,Studio,70,883,700,850,"1,000",,,,,,
Hounslow,One Bedroom,380,"1,270","1,050","1,250","1,481",,,,,,
Hounslow,Two Bedrooms,570,"1,519","1,295","1,400","1,660",,,,,,
Hounslow,Three Bedrooms,290,"1,778","1,500","1,650","1,850",,,,,,
Hounslow,Four or More Bedrooms,100,"2,525","1,750","2,000","2,600",,,,,,
Islington,Room,20,669,592,685,744,,,,,,
Islington,Studio,40,"1,084",900,"1,000","1,200",,,,,,
Islington,One Bedroom,400,"1,604","1,387","1,520","1,750",,,,,,
Islington,Two Bedrooms,330,"2,139","1,700","2,046","2,399",,,,,,
Islington,Three Bedrooms,140,"2,568","2,080","2,400","2,817",,,,,,
Islington,Four or More Bedrooms,50,"3,557","3,000","3,642","4,008",,,,,,
Kensington and Chelsea,Room,40,876,765,852,982,,,,,,
Kensington and Chelsea,Studio,380,"1,589","1,300","1,517","1,712",,,,,,
Kensington and Chelsea,One Bedroom,"1,060","2,359","1,842","2,145","2,625",,,,,,
Kensington and Chelsea,Two Bedrooms,"1,070","3,173","2,383","2,903","3,597",,,,,,
Kensington and Chelsea,Three Bedrooms,350,"4,998","3,333","4,353","6,067",,,,,,
Kensington and Chelsea,Four or More Bedrooms,110,"8,239","5,649","7,713","9,750",,,,,,
Kingston upon Thames,Room,60,510,492,492,550,,,,,,
