Date,IPHRP,IPHRP_Change,
Dec-22,112.8,4.0,
Jan-23,113.3,4.3,
Feb-23,113.7,4.6,
Mar-23,114.2,4.8,
Apr-23,114.7,5.0,
May-23,115.3,5.1,
Jun-23,115.9,5.3,
Jul-23,116.6,5.5,
Aug-23,117.4,5.9,
Sep-23,118.2,6.2,
Oct-23,119.2,6.8,
