"Borough","Bedroom.Category","Count.of.rents","Mean","Lower.quartile","Median","Upper.quartile"
"Sutton","2 Bedrooms",490,1277,1150,1250,1400
"Sutton","3 Bedrooms",170,1666,1500,1610,1800
"Tower Hamlets","Studio",70,1441,1196,1400,1582
"Tower Hamlets","1 Bedroom",440,1593,1350,1550,1777
"Tower Hamlets","2 Bedrooms",530,2013,1650,1850,2147
"Tower Hamlets","3 Bedrooms",160,2368,1926,2275,2695
"Waltham Forest","Studio",30,856,720,875,1000
"Waltham Forest","1 Bedroom",470,1178,1050,1178,1290
"Waltham Forest","2 Bedrooms",640,1447,1300,1425,1600
"Waltham Forest","3 Bedrooms",300,1750,1550,1700,1900
"Wandsworth","Studio",30,1113,1000,1050,1200
"Wandsworth","1 Bedroom",410,1541,1350,1500,1677
"Wandsworth","2 Bedrooms",740,1906,1600,1800,2102
"Wandsworth","3 Bedrooms",310,2511,2000,2450,2850
"Westminster","Studio",110,1421,1200,1300,1517
"Westminster","1 Bedroom",460,2244,1777,2102,2513
"Westminster","2 Bedrooms",410,3256,2427,2925,3662
"Westminster","3 Bedrooms",140,5008,3185,4013,5612
