"Borough","Bedroom.Category","Count_of_listing","Mean","Lower_quartile","Median","Upper_quartile","Annual_OCC"
"Lewisham","3 Bedrooms",10,185,142,220,236,43.2760352621021
"Lewisham","Studio",0,70,56,60,72,11.5306919331575
"Merton","1 Bedroom",110,66,44,55,88,36.8935340100133
"Merton","2 Bedrooms",40,175,120,160,200,30.980184417811
"Merton","3 Bedrooms",10,231,188,240,240,42.2781978902309
"Merton","Studio",0,77,64,74,87,22.0988681835922
"Newham","1 Bedroom",230,66,39,54,74,34.5574747742818
"Newham","2 Bedrooms",80,168,112,136,178,34.6223573585542
"Newham","3 Bedrooms",20,240,160,221,264,10.5075565364388
"Newham","Studio",0,40,40,40,40,5.07662835249041
"Redbridge","1 Bedroom",100,71,39,64,106,30.6060639714776
"Redbridge","2 Bedrooms",20,149,121,153,183,14.1538029703569
"Redbridge","3 Bedrooms",10,213,160,225,272,40.0199104203024
"Redbridge","Studio",10,78,52,71,112,2.66853932584269
"Richmond upon Thames","1 Bedroom",90,69,40,60,80,47.0605069038589
"Richmond upon Thames","2 Bedrooms",20,160,86,160,180,54.804184676185
"Richmond upon Thames","3 Bedrooms",10,233,138,187,265,44.3161511671384
"Richmond upon Thames","Studio",0,63,63,63,63,84.8901098901099
"Southwark","1 Bedroom",360,86,56,80,104,48.1433453846522
"Southwark","2 Bedrooms",100,154,120,160,176,53.8050045329948
"Southwark","3 Bedrooms",30,190,80,150,220,36.2040829621245
"Southwark","Studio",10,77,65,80,96,59.7421333056888
"Sutton","1 Bedroom",30,220,40,44,61,27.0111326024848
"Sutton","2 Bedrooms",10,83,64,94,94,32.5915823572427
"Sutton","Studio",0,59,52,52,68,17.2813390180581
"Tower Hamlets","1 Bedroom",500,106,63,88,120,47.8267642216822
"Tower Hamlets","2 Bedrooms",200,174,130,160,200,55.8019984543766
"Tower Hamlets","3 Bedrooms",60,237,160,199,272,47.4998734488794
"Tower Hamlets","Studio",40,94,64,97,107,71.1426839851405
"Waltham Forest","1 Bedroom",140,62,38,48,80,43.7585525166561
"Waltham Forest","2 Bedrooms",40,108,80,104,120,47.3322181074669
"Waltham Forest","3 Bedrooms",10,179,160,160,220,39.9192850270465
"Waltham Forest","Studio",0,43,36,40,48,72.4925078305673
"Wandsworth","1 Bedroom",290,95,60,80,108,39.8250338848357
"Wandsworth","2 Bedrooms",100,188,150,172,206,51.0314683084764
"Wandsworth","3 Bedrooms",30,226,169,200,280,36.4135752481436
"Wandsworth","Studio",10,104,84,96,124,39.0355260346547
"Westminster","1 Bedroom",900,154,84,120,180,46.2730425426745
"Westminster","2 Bedrooms",440,301,176,240,360,39.042866325661
"Westminster","3 Bedrooms",160,345,211,340,476,44.8282653197311
"Westminster","Studio",200,156,92,119,183,53.2679827944752
